연도,상/하반기,재공급/신규공급,평수,주택명,주소지,자치구,지역등급,교통등급,모집규모밀도,당첨자순위,당첨자 가점,모집규모밀도_건수
2023,하,신규공급,32B,미래하이츠,"서울특별시 성북구 회기로3길 8 (미래하이츠, 종암동28-27)",성북구,A,2분,0.000327273,2순위,8점,45
2023,하,신규공급,26B,미래하이츠,"서울특별시 성북구 회기로3길 8 (미래하이츠, 종암동28-27)",성북구,A,2분,0.000327273,1순위,5점,45
2023,하,신규공급,40A,서영스윗홈,"서울특별시 송파구 오금로27길 50-11 (서영스윗홈, 방이동 211-10)",송파구,B,6분,0.000595855,1순위,7점,115
2023,하,신규공급,28B,서영스윗홈,"서울특별시 송파구 오금로27길 50-11 (서영스윗홈, 방이동 211-10)",송파구,B,6분,0.000595855,1순위,7점,115
2023,하,신규공급,27B,WISH,"서울특별시 송파구 동남로2길 21-17 (WISH, 문정동 48-9)",송파구,B,3분,0.000595855,1순위,5점,115
2023,하,신규공급,40A,WISH,"서울특별시 송파구 동남로2길 21-17 (WISH, 문정동 48-9)",송파구,B,3분,0.000595855,1순위,8점,115
2023,하,신규공급,29B,WISH,"서울특별시 송파구 동남로2길 21-17 (WISH, 문정동 48-9)",송파구,B,3분,0.000595855,1순위,7점,115
2023,하,신규공급,25B,더클래스 오금3,"서울특별시 송파구 마천로23길 4 (더클래스 오금3, 오금동 119-29)",송파구,B,10분,0.000595855,2순위,5점,115
2023,하,신규공급,37A,더클래스 오금3,"서울특별시 송파구 마천로23길 4 (더클래스 오금3, 오금동 119-29)",송파구,B,10분,0.000595855,1순위,3점,115
2023,하,신규공급,40A,더클래스 오금3,"서울특별시 송파구 마천로23길 4 (더클래스 오금3, 오금동 119-29)",송파구,B,10분,0.000595855,1순위,7점,115
2023,하,신규공급,28B,더클래스 오금3,"서울특별시 송파구 마천로23길 4 (더클래스 오금3, 오금동 119-29)",송파구,B,10분,0.000595855,2순위,7점,115
2023,하,신규공급,26B,도담마을,"서울특별시 송파구 토성로17길 9-1 (도담마을, 풍납동 408-10)",송파구,B,3분,0.000595855,1순위,0점,115
2023,하,신규공급,28B,도담마을,"서울특별시 송파구 토성로17길 9-1 (도담마을, 풍납동 408-10)",송파구,B,3분,0.000595855,1순위,5점,115
2023,하,신규공급,32B,도담마을,"서울특별시 송파구 토성로17길 9-1 (도담마을, 풍납동 408-10)",송파구,B,3분,0.000595855,1순위,6점,115
2023,하,신규공급,29B,삼정리버뷰,"서울특별시 영등포구 경인로71길 74 (삼정리버뷰, 문래동5가 20-21)",영등포구,B,3분,0.000664,1순위,3점,83
2023,하,신규공급,36B,삼정리버뷰,"서울특별시 영등포구 경인로71길 74 (삼정리버뷰, 문래동5가 20-21)",영등포구,B,3분,0.000664,1순위,5점,83
2023,하,신규공급,37A,현도빌리지Ⅶ,"서울특별시 영등포구 대림로31가길 5 (현도빌리지Ⅶ, 대림동 729-7)",영등포구,B,4분,0.000664,1순위,2점,83
2023,하,신규공급,48A,현도빌리지Ⅶ,"서울특별시 영등포구 대림로31가길 5 (현도빌리지Ⅶ, 대림동 729-7)",영등포구,B,4분,0.000664,1순위,7점,83
2023,하,신규공급,33A,현도빌리지VIII,"서울특별시 영등포구 대림로34길 17 (현도빌리지VIII, 대림동 685-24)",영등포구,B,10분,0.000664,2순위,7점,83
2023,하,신규공급,36A,현도빌리지VIII,"서울특별시 영등포구 대림로34길 17 (현도빌리지VIII, 대림동 685-24)",영등포구,B,10분,0.000664,2순위,8점,83
2023,하,신규공급,27B,현도빌리지VIII,"서울특별시 영등포구 대림로34길 17 (현도빌리지VIII, 대림동 685-24)",영등포구,B,10분,0.000664,2순위,6점,83
2023,하,신규공급,34B,현도빌리지VIII,"서울특별시 영등포구 대림로34길 17 (현도빌리지VIII, 대림동 685-24)",영등포구,B,10분,0.000664,2순위,7점,83
2023,하,신규공급,35A,미래하이츠,"서울특별시 영등포구 디지털로38길 4-7 (미래하이츠, 대림동 1081-82)",영등포구,B,5분,0.000664,1순위,3점,83
2023,하,신규공급,31A,미래하이츠,"서울특별시 영등포구 디지털로38길 4-7 (미래하이츠, 대림동 1081-82)",영등포구,B,5분,0.000664,2순위,7점,83
2023,하,신규공급,42A,미래하이츠,"서울특별시 영등포구 디지털로38길 4-7 (미래하이츠, 대림동 1081-82)",영등포구,B,5분,0.000664,1순위,2점,83
2023,하,신규공급,32A,대림하이츠,"서울특별시 영등포구 디지털로38길 8-12 (대림하이츠, 대림동1081-84)",영등포구,B,5분,0.000664,2순위,7점,83
2023,하,신규공급,35A,대림하이츠,"서울특별시 영등포구 디지털로38길 8-12 (대림하이츠, 대림동1081-84)",영등포구,B,5분,0.000664,1순위,2점,83
2023,하,신규공급,45A,대림하이츠,"서울특별시 영등포구 디지털로38길 8-12 (대림하이츠, 대림동1081-84)",영등포구,B,5분,0.000664,1순위,5점,83
2023,하,신규공급,31B,초행지붕 구산A동,"서울특별시 은평구 갈현로11가길 3 (초행지붕 구산A동, 구산동 551)",은평구,C,20분,0.000286822,2순위,7점,37
2023,하,신규공급,26B,초행지붕 구산A동,"서울특별시 은평구 갈현로11가길 3 (초행지붕 구산A동, 구산동 551)",은평구,C,20분,0.000286822,2순위,6점,37
